,TSLA,JD,TRMB,KTOS,GOOG,BIDU,IRDM,U,DDD,PATH,LMT,DE,TER,NIU,KMTUY,NXPI,NNDM,CAT,MG.TO,ISRG,BYDDY,TSP,RAVN,TWOU,VUZI,MTLS,NVDA,TDY,AVAV,SNPS,ESLT,ANSS,BABA,BLDE,ACIC,TCEHY,SPFR,SSYS,PCAR,AONE,PRLB,XONE,BZ,DREYFUS GOVT CASH MAN INS,ONVO,GLEO,MKFG,n/a,PLTR,ESLT.TA,MGA,ACHR,VLD,XPEV,SUM
01/13/2022,10.81,0.03,7.35,6.85,1.96,1.56,5.1,3.6,3.38,7.91,1.5,3.85,2.33,2.54,4.21,0.0,1.63,1.59,2.62,1.23,0.94,2.82,0.0,0.71,1.1,1.45,0.0,1.33,2.46,1.07,0.0,1.16,0.0,2.21,0.0,0.0,0.0,1.24,0.0,0.0,1.24,0.0,0.0,0.0,0.02,0.0,2.42,0.27,2.54,1.77,0.0,1.96,1.7,1.5,99.95999999999997
01/14/2022,10.63,0.03,7.25,6.76,1.94,1.57,5.02,3.63,3.51,8.26,1.47,3.77,2.34,2.5,4.23,0.0,1.65,1.55,2.57,1.21,0.96,2.95,0.0,0.71,1.11,1.46,0.0,1.33,2.45,1.08,0.0,1.15,0.0,2.19,0.0,0.0,0.0,1.26,0.0,0.0,1.26,0.0,0.0,0.0,0.02,0.0,2.45,0.13,2.55,1.75,0.0,1.99,1.73,1.57,99.98999999999998
01/17/2022,10.65,0.03,7.16,6.58,1.99,1.58,4.86,3.37,3.62,7.75,1.53,3.9,2.31,2.37,4.49,0.0,1.6,1.65,2.78,1.19,1.03,2.8,0.0,0.65,1.09,1.38,0.0,1.35,2.6,1.08,0.0,1.14,0.0,2.11,0.0,0.0,0.0,1.26,0.0,0.0,1.22,0.0,0.0,0.0,0.02,0.0,2.61,0.75,2.49,1.82,0.0,1.9,1.61,1.69,100.01
01/18/2022,10.65,0.03,7.16,6.58,1.99,1.58,4.86,3.37,3.62,7.75,1.53,3.9,2.31,2.37,4.49,0.0,1.6,1.65,2.78,1.19,1.03,2.8,0.0,0.65,1.09,1.38,0.0,1.35,2.6,1.08,0.0,1.14,0.0,2.11,0.0,0.0,0.0,1.26,0.0,0.0,1.22,0.0,0.0,0.0,0.02,0.0,2.61,0.75,2.49,1.82,0.0,1.9,1.61,1.69,100.01
01/19/2022,10.65,0.03,7.16,6.58,1.99,1.58,4.86,3.37,3.62,7.75,1.53,3.9,2.31,2.37,4.49,0.0,1.6,1.65,2.78,1.19,1.03,2.8,0.0,0.65,1.09,1.38,0.0,1.35,2.6,1.08,0.0,1.14,0.0,2.11,0.0,0.0,0.0,1.26,0.0,0.0,1.22,0.0,0.0,0.0,0.02,0.0,2.61,0.75,2.49,1.82,0.0,1.9,1.61,1.69,100.01
01/20/2022,10.85,0.03,7.17,6.43,2.0,1.6,4.84,3.41,3.68,7.58,1.56,3.9,2.41,2.39,4.54,0.0,1.64,1.67,2.77,1.17,1.06,2.7,0.0,0.66,1.07,1.39,0.0,1.35,2.75,1.08,0.0,1.13,0.0,2.1,0.0,0.0,0.0,1.27,0.0,0.0,1.23,0.0,0.0,0.0,0.02,0.0,2.51,0.45,2.5,1.85,0.0,1.87,1.63,1.77,100.03
01/21/2022,11.01,0.01,7.29,6.58,2.02,1.64,4.78,3.37,3.62,7.57,1.16,4.07,2.35,2.49,4.65,0.0,1.58,1.73,2.85,1.16,1.09,2.52,0.0,0.67,1.05,1.36,0.0,1.37,2.84,1.07,0.0,1.13,0.0,2.02,0.0,0.0,0.0,1.26,0.0,0.0,1.26,0.0,0.0,0.0,0.02,0.0,2.54,0.43,2.41,1.93,0.0,1.76,1.61,1.74,100.01
01/24/2022,10.81,0.01,7.2,6.84,2.01,1.76,4.87,3.45,3.58,7.65,1.17,3.95,2.23,2.59,4.56,0.0,1.57,1.65,2.63,1.05,1.1,2.45,0.0,0.66,1.02,1.36,0.0,1.41,2.84,1.07,0.0,1.13,0.0,2.19,0.0,0.0,0.0,1.26,0.0,0.0,1.29,0.0,0.0,0.0,0.02,0.0,2.65,0.51,2.39,1.85,0.0,1.79,1.76,1.67,100.0
01/25/2022,10.81,0.01,7.2,6.84,2.01,1.76,4.87,3.45,3.58,7.65,1.17,3.95,2.23,2.59,4.56,0.0,1.57,1.65,2.63,1.05,1.1,2.45,0.0,0.66,1.02,1.36,0.0,1.41,2.84,1.07,0.0,1.13,0.0,2.19,0.0,0.0,0.0,1.26,0.0,0.0,1.29,0.0,0.0,0.0,0.02,0.0,2.65,0.51,2.39,1.85,0.0,1.79,1.76,1.67,100.0
01/26/2022,10.56,0.01,7.21,7.15,2.02,1.76,4.95,3.34,3.38,7.75,1.2,4.05,2.27,2.5,4.68,0.0,1.55,1.69,2.64,1.0,1.1,2.25,0.0,0.64,1.03,1.33,0.0,1.44,2.9,1.08,0.0,1.14,0.0,2.31,0.0,0.0,0.0,1.25,0.0,0.0,1.31,0.0,0.0,0.0,0.02,0.0,2.76,0.47,2.28,1.88,0.0,1.71,1.8,1.61,100.02000000000001
